时间            微压差
 .1           -520 
 .2           -520 
 .4           -520 
 .7           -520 
 .8           -520 
 1            -519 
 1.2          -519 
 1.3          -519 
 1.5          -519 
 1.6          -519 
 1.8          -519 
 2            -519 
 2.1          -519 
 2.2          -519 
 2.4          -519 
 2.5          -519 
 2.6          -519 
 2.7          -519 
 2.9          -519 
 3            -519 
 3.1          -519 
 3.2          -519 
 3.4          -519 
 3.6          -519 
 3.7          -519 
 3.9          -519 
 4            -519 
 4.2          -519 
 4.4          -519 
 4.6          -519 
 4.7          -519 
 4.9          -519 
 5.1          -519 
 5.2          -519 
 5.4          -519 
 5.6          -518 
 5.8          -518 
 5.9          -518 
 6.1          -518 
 6.2          -519 
 6.4          -522 
 6.6          -525 
 6.7          -529 
 7            -534 
 7.2          -539 
 7.4          -542 
 7.6          -548 
 7.7          -549 
 8            -551 
 8.2          -541 
 8.3          -504 
 8.5          -504 
 8.7          -507 
 8.8          -509 
 9            -516 
 9.2          -518 
 9.3          -519 
 9.5          -522 
 9.7          -522 
 9.8          -522 
 10           -522 
 10.3         -524 
 10.5         -527 
 10.7         -532 
 10.8         -534 
 11           -542 
 11.2         -544 
 11.3         -545 
 11.5         -551 
 11.7         -553 
 11.8         -553 
 12           -509 
 12.2         -502 
 12.4         -502 
 12.6         -504 
 12.8         -509 
 13           -516 
 13.2         -520 
 13.3         -522 
 13.6         -523 
 13.8         -523 
 14           -523 
 14.2         -524 
 14.3         -527 
 14.6         -532 
 14.8         -536 
 15           -542 
 15.2         -545 
 15.3         -547 
 15.5         -553 
 15.8         -553 
 16           -523 
 16.1         -501 
 16.3         -501 
 16.5         -504 
 16.6         -506 
 16.8         -514 
 17           -515 
 17.1         -517 
 17.3         -522 
 17.5         -524 
 17.6         -524 
 17.8         -524 
 18           -524 
 18.1         -524 
 18.3         -526 
 18.5         -552 
 18.6         -552 
 18.8         -552 
 19           -552 
 19.2         -552 
 19.3         -552 
 19.5         -552 
 19.6         -552 
 19.8         -552 
 20           -509 
 20.1         -486 
 20.4         -486 
 20.5         -486 
 20.6         -489 
 20.8         -496 
 21           -501 
 21.1         -506 
 21.4         -509 
 21.5         -509 
 21.6         -509 
 21.8         -509 
 22           -509 
 22.1         -510 
 22.3         -512 
 22.6         -517 
 22.8         -521 
 23           -526 
 23.1         -528 
 23.3         -553 
 23.5         -553 
 23.7         -553 
 23.8         -553 
 24           -553 
 24.1         -553 
 24.3         -553 
 24.5         -553 
 24.6         -502 
 24.8         -479 
