时间            微压差
 .1           -600 
 .2           -596 
 .5           -596 
 .7           -596 
 .8           -601 
 1            -603 
 1.1          -603 
 1.3          -603 
 1.5          -604 
 1.7          -605 
 1.8          -606 
 2            -612 
 2.1          -614 
 2.2          -616 
 2.4          -643 
 2.5          -643 
 2.6          -643 
 2.7          -643 
 2.9          -643 
 3            -643 
 3.1          -643 
 3.2          -643 
 3.4          -643 
 3.5          -643 
 3.6          -643 
 3.7          -643 
 3.9          -643 
 4            -608 
 4.2          -558 
 4.4          -561 
 4.6          -568 
 4.7          -569 
 4.9          -571 
 5.1          -571 
 5.2          -572 
 5.4          -572 
 5.6          -574 
 5.7          -575 
 5.9          -580 
 6.1          -584 
 6.3          -588 
 6.4          -590 
 6.6          -594 
 6.7          -596 
 6.9          -601 
 7.1          -605 
 7.3          -608 
 7.4          -610 
 7.6          -614 
 7.7          -619 
 7.9          -623 
 8.1          -628 
 8.3          -632 
 8.5          -635 
 8.7          -637 
 8.8          -638 
 9            -641 
 9.2          -641 
 9.3          -641 
 9.5          -641 
 9.7          -641 
 9.8          -641 
 10           -641 
 10.2         -641 
 10.3         -641 
 10.5         -586 
 10.7         -516 
 10.8         -516 
 11           -520 
 11.2         -529 
 11.3         -531 
 11.5         -539 
 11.7         -542 
 11.8         -544 
 12           -551 
 12.2         -555 
 12.3         -557 
 12.5         -563 
 12.7         -565 
 12.9         -566 
 13.1         -566 
 13.3         -566 
 13.5         -566 
 13.7         -567 
 13.9         -571 
 14.1         -575 
 14.3         -581 
 14.5         -585 
 14.7         -590 
 14.8         -592 
 15.1         -597 
 15.3         -600 
 15.5         -606 
 15.7         -609 
 15.8         -611 
 16           -617 
 16.1         -618 
 16.3         -620 
 16.5         -625 
 16.6         -627 
 16.8         -628 
 17           -628 
 17.1         -628 
 17.3         -627 
 17.5         -643 
 17.6         -643 
 17.8         -643 
 18           -643 
 18.1         -643 
 18.3         -643 
 18.5         -643 
 18.6         -643 
 18.8         -643 
 19           -539 
 19.1         -539 
 19.3         -539 
 19.5         -548 
 19.7         -551 
 19.8         -554 
 20           -561 
 20.1         -563 
 20.3         -568 
 20.5         -574 
 20.7         -577 
 20.8         -580 
 21           -580 
 21.1         -580 
 21.3         -579 
 21.5         -579 
 21.6         -581 
 21.9         -584 
 22           -586 
 22.1         -589 
 22.3         -593 
 22.5         -599 
 22.6         -601 
 22.8         -604 
 23.1         -609 
 23.3         -613 
 23.5         -618 
 23.6         -620 
 23.8         -624 
 24.1         -631 
 24.3         -636 
 24.5         -639 
 24.6         -641 
 24.8         -644 
 25           -644 
 25.1         -644 
 25.3         -644 
 25.5         -644 
 25.6         -644 
 25.8         -644 
 26           -644 
 26.1         -644 
 26.3         -565 
 26.5         -565 
 26.6         -565 
 26.8         -568 
 27           -576 
 27.1         -579 
 27.3         -588 
 27.5         -590 
 27.6         -592 
 27.8         -598 
 28           -602 
 28.1         -604 
 28.3         -610 
 28.5         -614 
 28.7         -616 
 28.8         -617 
 29           -617 
 29.1         -617 
 29.3         -617 
 29.5         -617 
 29.6         -617 
 29.9         -620 
 30           -623 
 30.1         -625 
 30.3         -628 
 30.5         -634 
 30.6         -636 
 30.9         -642 
 31           -642 
 31.1         -642 
 31.3         -628 
 31.5         -597 
 31.6         -597 
 31.8         -600 
 32.1         -604 
 32.2         -609 
 32.4         -613 
 32.5         -615 
 32.6         -618 
 32.7         -620 
 32.9         -621 
 33           -621 
 33.2         -621 
 33.4         -621 
 33.5         -621 
 33.6         -621 
 33.7         -642 
 33.9         -642 
 34           -642 
 34.1         -642 
 34.3         -642 
 34.4         -642 
 34.5         -642 
 34.6         -642 
 34.7         -642 
 34.9         -642 
 35           -642 
 35.1         -635 
 35.2         -543 
 35.4         -543 
 35.5         -543 
 35.6         -543 
 35.7         -550 
 35.9         -555 
 36           -558 
 36.1         -563 
 36.2         -565 
 36.4         -570 
 36.6         -574 
 36.7         -576 
 36.9         -578 
 37           -579 
 37.1         -579 
 37.2         -579 
 37.4         -579 
 37.5         -579 
 37.7         -580 
 37.9         -584 
 38           -586 
 38.1         -588 
 38.2         -590 
 38.4         -596 
 38.5         -597 
 38.6         -599 
 38.8         -603 
 38.9         -605 
 39           -606 
 39.1         -608 
 39.2         -612 
 39.4         -616 
 39.5         -617 
 39.6         -621 
 39.7         -623 
 40           -626 
 40.1         -628 
 40.2         -632 
 40.4         -637 
 40.5         -640 
 40.6         -641 
 40.7         -642 
 40.9         -642 
 41           -642 
 41.1         -642 
 41.2         -642 
 41.4         -642 
 41.5         -642 
 41.6         -642 
 41.7         -642 
 41.9         -645 
 42.1         -645 
 42.2         -645 
 42.4         -596 
 42.5         -596 
 42.6         -596 
 42.7         -601 
 42.9         -606 
 43.1         -608 
