时间            微压差
 .1           -427 
 .2           -428 
 .4           -428 
 .7           -428 
 .8           -427 
 1            -369 
 1.1          -369 
 1.4          -370 
 1.5          -373 
 1.6          -374 
 1.8          -376 
 2            -379 
 2.1          -380 
 2.2          -381 
 2.5          -383 
 2.6          -384 
 2.7          -385 
 2.9          -388 
 3            -388 
 3.1          -389 
 3.2          -390 
 3.4          -392 
 3.5          -392 
 3.7          -393 
 3.9          -394 
 4            -395 
 4.2          -396 
 4.4          -396 
 4.6          -396 
 4.8          -396 
 4.9          -396 
 5.1          -396 
 5.2          -395 
 5.4          -395 
 5.6          -395 
 5.7          -395 
 5.9          -396 
 6.1          -396 
 6.2          -397 
 6.4          -398 
 6.6          -399 
 6.7          -400 
 6.9          -401 
 7.1          -401 
 7.2          -402 
 7.4          -404 
 7.6          -406 
 7.7          -407 
 7.9          -409 
 8.1          -410 
 8.3          -411 
 8.5          -413 
 8.7          -414 
 8.8          -415 
 9            -417 
 9.3          -418 
 9.5          -420 
 9.7          -429 
 9.8          -429 
 10           -429 
 10.2         -429 
 10.3         -429 
 10.5         -429 
 10.7         -429 
 10.8         -429 
 11           -411 
 11.2         -367 
 11.4         -367 
 11.6         -367 
 11.8         -370 
 12           -373 
 12.2         -375 
 12.3         -376 
 12.6         -379 
 12.8         -381 
 13           -383 
 13.2         -385 
 13.3         -386 
 13.6         -388 
 13.8         -389 
 14           -390 
 14.2         -391 
 14.3         -391 
 14.5         -392 
 14.8         -392 
 15           -391 
 15.2         -391 
 15.3         -391 
 15.5         -391 
 15.7         -391 
 15.9         -391 
 16.1         -392 
 16.3         -392 
 16.5         -394 
 16.6         -394 
 16.8         -396 
 17           -396 
 17.1         -397 
 17.3         -400 
 17.5         -401 
 17.6         -402 
 17.8         -403 
 18.1         -405 
 18.3         -407 
 18.5         -408 
 18.6         -409 
 18.8         -410 
 19           -412 
 19.1         -412 
 19.3         -413 
 19.5         -415 
 19.6         -416 
 19.8         -417 
 20           -419 
 20.1         -420 
 20.4         -421 
 20.5         -422 
 20.6         -422 
 20.8         -425 
 21           -426 
 21.1         -427 
 21.3         -429 
 21.5         -429 
 21.6         -429 
 21.8         -415 
 22           -376 
 22.1         -376 
 22.3         -376 
 22.5         -379 
 22.7         -380 
 22.8         -381 
 23           -384 
 23.1         -385 
 23.3         -386 
 23.5         -389 
 23.7         -389 
 23.8         -390 
 24           -392 
 24.1         -392 
 24.3         -393 
 24.5         -393 
 24.6         -393 
 24.9         -393 
 25           -393 
 25.1         -393 
 25.3         -392 
 25.5         -392 
 25.6         -392 
 25.8         -392 
 26.1         -393 
 26.3         -394 
 26.5         -395 
 26.6         -396 
 26.8         -397 
 27.1         -399 
 27.3         -400 
 27.5         -402 
 27.6         -403 
 27.8         -405 
 28           -406 
 28.1         -407 
 28.3         -409 
 28.5         -410 
 28.6         -411 
 28.8         -412 
 29           -413 
 29.1         -414 
 29.3         -416 
 29.5         -416 
 29.6         -418 
 29.8         -419 
 30           -421 
 30.1         -421 
 30.3         -422 
 30.5         -424 
 30.6         -424 
 30.8         -427 
 31           -428 
 31.1         -428 
 31.3         -428 
 31.5         -401 
 31.7         -371 
 31.8         -371 
 32           -371 
 32.1         -373 
 32.2         -375 
 32.4         -377 
 32.5         -379 
 32.6         -380 
 32.7         -381 
 32.9         -382 
 33           -383 
 33.1         -385 
 33.2         -385 
 33.4         -387 
 33.5         -389 
 33.6         -389 
 33.7         -390 
 33.9         -390 
 34           -391 
 34.1         -392 
 34.2         -392 
 34.4         -393 
 34.5         -393 
 34.6         -393 
 34.7         -393 
 34.9         -392 
 35.1         -392 
 35.2         -392 
 35.4         -392 
 35.5         -392 
 35.6         -392 
 35.7         -392 
 35.9         -392 
 36           -392 
 36.1         -393 
 36.3         -393 
 36.4         -394 
 36.5         -394 
 36.6         -395 
 36.7         -395 
 36.9         -396 
 37           -398 
 37.1         -398 
 37.3         -399 
 37.4         -400 
 37.5         -401 
 37.6         -402 
 37.7         -403 
 37.9         -405 
 38           -406 
 38.1         -406 
 38.2         -407 
 38.5         -409 
 38.6         -409 
 38.7         -410 
 38.9         -411 
 39           -412 
 39.1         -413 
 39.2         -414 
 39.4         -415 
 39.5         -416 
 39.7         -417 
 39.9         -419 
 40           -419 
 40.1         -421 
 40.2         -421 
 40.4         -422 
 40.5         -423 
 40.7         -424 
 40.9         -427 
 41           -427 
 41.1         -428 
 41.2         -429 
 41.4         -429 
 41.5         -429 
 41.6         -421 
 41.7         -383 
 41.9         -373 
 42           -373 
 42.1         -373 
 42.2         -373 
 42.4         -377 
 42.5         -378 
 42.6         -379 
 42.7         -381 
 42.9         -383 
 43.1         -384 
 43.2         -385 
 43.4         -387 
 43.5         -388 
 43.6         -389 
 43.7         -390 
 43.9         -390 
 44.1         -391 
 44.2         -392 
 44.4         -393 
 44.5         -393 
 44.6         -393 
 44.7         -393 
 44.9         -393 
 45           -393 
 45.1         -392 
 45.3         -392 
 45.4         -392 
 45.5         -392 
 45.6         -392 
 45.7         -392 
 45.9         -392 
 46           -393 
 46.1         -393 
 46.2         -393 
 46.5         -394 
 46.6         -395 
 46.7         -396 
 46.9         -397 
 47           -397 
 47.1         -399 
 47.2         -399 
 47.5         -401 
 47.6         -402 
 47.7         -403 
 47.9         -405 
 48           -406 
 48.1         -406 
 48.2         -407 
 48.4         -409 
 48.5         -410 
 48.7         -410 
 48.9         -412 
 49           -412 
 49.1         -413 
 49.2         -414 
 49.4         -415 
 49.5         -416 
 49.6         -417 
 49.7         -418 
 49.9         -419 
 50           -419 
 50.1         -420 
 50.2         -421 
 50.4         -428 
 50.5         -428 
 50.6         -428 
 50.7         -428 
 50.9         -428 
 51           -428 
 51.1         -428 
 51.2         -428 
 51.4         -428 
 51.5         -428 
 51.6         -424 
 51.7         -386 
 51.9         -367 
 52.1         -367 
 52.2         -367 
 52.4         -371 
 52.5         -372 
 52.6         -373 
 52.7         -375 
 52.9         -377 
 53           -378 
 53.2         -379 
 53.4         -381 
 53.5         -382 
 53.6         -383 
 53.7         -384 
 53.9         -385 
 54           -386 
 54.1         -387 
 54.3         -387 
 54.4         -388 
 54.5         -388 
 54.6         -388 
 54.7         -388 
 54.9         -388 
 55           -388 
 55.1         -388 
 55.2         -387 
 55.4         -387 
 55.5         -387 
 55.6         -387 
 55.7         -387 
 55.9         -387 
 56           -387 
 56.1         -388 
 56.2         -388 
 56.4         -389 
 56.6         -390 
 56.7         -390 
 56.9         -391 
 57           -392 
 57.1         -392 
 57.2         -394 
 57.4         -395 
 57.5         -396 
 57.7         -398 
 57.9         -400 
 58           -400 
 58.1         -401 
 58.2         -402 
 58.4         -403 
 58.5         -404 
 58.6         -405 
 58.8         -406 
 58.9         -406 
 59           -407 
 59.1         -408 
 59.2         -409 
 59.4         -411 
 59.5         -411 
 59.6         -412 
 59.7         -412 
 60           -414 
 60.1         -415 
 60.2         -415 
 60.4         -417 
 60.5         -418 
 60.6         -419 
 60.7         -420 
 61           -421 
 61.1         -421 
 61.2         -423 
 61.4         -424 
 61.5         -425 
 61.6         -426 
 61.7         -427 
 61.9         -428 
 62           -428 
 62.2         -428 
 62.4         -428 
 62.5         -370 
 62.6         -370 
 62.7         -370 
 62.9         -372 
 63           -374 
 63.1         -375 
 63.2         -376 
 63.4         -378 
 63.5         -379 
 63.6         -380 
 63.7         -380 
 63.9         -383 
 64           -383 
 64.2         -385 
 64.4         -385 
 64.6         -386 
 64.7         -386 
 64.9         -386 
 65.1         -386 
 65.2         -385 
 65.4         -385 
 65.6         -385 
 65.7         -385 
